state,total_votes,dem_votes,dem_pct,dem_ev,rep_votes,rep_pct,rep_ev,year
Alabama,294219,250726,85.2,11,42184,14.3,,1940
Arizona,150039,95267,63.5,3,54030,36.0,,1940
Arkansas,200429,157213,78.4,9,42122,21.0,,1940
California,3268791,1877618,57.4,22,1351419,41.3,,1940
Colorado,549004,265554,48.4,,279576,50.9,6,1940
Connecticut,781502,417621,53.4,8,361819,46.3,,1940
Delaware,136374,74599,54.7,3,61440,45.1,,1940
Florida,485640,359334,74.0,7,126158,26.0,,1940
Georgia,312686,265194,84.8,12,46495,14.9,,1940
Idaho,235168,127842,54.4,4,106553,45.3,,1940
Illinois,4217935,2149934,51.0,29,2047240,48.5,,1940
Indiana,1782747,874063,49.0,,899466,50.5,14,1940
Iowa,1215432,578802,47.6,,632370,52.0,11,1940
Kansas,860297,364725,42.4,,489169,56.9,9,1940
Kentucky,970163,557322,57.4,11,410384,42.3,,1940
Louisiana,372305,319751,85.9,10,52446,14.1,,1940
Maine,320840,156478,48.8,,163951,51.1,5,1940
Maryland,660104,384546,58.3,8,269534,40.8,,1940
Massachusetts,2026993,1076522,53.1,17,939700,46.4,,1940
Michigan,2085929,1032991,49.5,,1039917,49.9,19,1940
Minnesota,1251188,644196,51.5,11,596274,47.7,,1940
Mississippi,175824,168267,95.7,9,7364,4.2,,1940
Missouri,1833729,958476,52.3,15,871009,47.5,,1940
Montana,247873,145698,58.8,4,99579,40.2,,1940
Nebraska,615878,263677,42.8,,352201,57.2,7,1940
Nevada,53174,31945,60.1,3,21229,39.9,,1940
New Hampshire,235419,125292,53.2,4,110127,46.8,,1940
New Jersey,1972552,1016808,51.5,16,945475,47.9,,1940
New Mexico,183258,103699,56.6,3,79315,43.3,,1940
New York,6301596,3251918,51.6,47,3027478,48.0,,1940
North Carolina,822648,609015,74.0,13,213633,26.0,,1940
North Dakota,280775,124036,44.2,,154590,55.1,4,1940
Ohio,3319912,1733139,52.2,26,1586773,47.8,,1940
Oklahoma,826212,474313,57.4,11,348872,42.2,,1940
Oregon,481240,258415,53.7,5,219555,45.6,,1940
Pennsylvania,4078714,2171035,53.2,36,1889848,46.3,,1940
Rhode Island,321152,182181,56.7,4,138654,43.2,,1940
South Carolina,99830,95470,95.6,8,4360,4.4,,1940
South Dakota,308427,131362,42.6,,177065,57.4,4,1940
Tennessee,522823,351601,67.3,11,169153,32.4,,1940
Texas,1041168,840151,80.7,23,199152,19.1,,1940
Utah,247819,154277,62.3,4,93151,37.6,,1940
Vermont,143062,64269,44.9,,78371,54.8,3,1940
Virginia,346608,235961,68.1,11,109363,31.6,,1940
Washington,793833,462145,58.2,8,322123,40.6,,1940
West Virginia,868076,495662,57.1,8,372414,42.9,,1940
Wisconsin,1405522,704821,50.1,12,679206,48.3,,1940
Wyoming,112240,59287,52.8,3,52633,46.9,,1940
